isbn,title,writer,publisher,avg_score
9780439785969,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Scholastic Inc.,4.57
9780439358071,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Scholastic Inc.,4.49
9780439554893,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Scholastic,4.42
9780439655484,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Scholastic Inc.,4.56
9780439682589,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Scholastic,4.78
9780976540601,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,3.74
9780439827607,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,4.73
9780517226957,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,4.38
9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Del Rey Books,4.38
9781400052929,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,4.22
9780739322208,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Random House Audio,4.22
9780517149256,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Wings Books,4.38
9780767908184,A Short History of Nearly Everything,Bill Bryson,Broadway Books,4.21
9780767915069,Bill Bryson's African Diary,Bill Bryson,Broadway Books,3.44
9780767910439,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Broadway Books,3.87
9780767903868,In a Sunburned Country,Bill Bryson,Broadway Books,4.07
9780767903820,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Broadway Books,3.9
9780060920081,The Lost Continent: Travels in Small Town America,Bill Bryson,William Morrow Paperbacks,3.83
9780380713806,Neither Here nor There: Travels in Europe,Bill Bryson,William Morrow Paperbacks,3.86
9780380727506,Notes from a Small Island,Bill Bryson,William Morrow Paperbacks,3.91
